CH1,CH2,CH3,CH4,Timestamp
-10353.68370707333,-10097.85198899731,-10318.112090792507,-8871.384962372482,1731337436.7877388
-11045.884550742805,-10539.178186014295,-10644.573364324868,-9403.470672715455,1731337436.7877393
-11399.181205689907,-10230.612726408988,-10136.558385461569,-9643.333183914423,1731337436.7877424
-11232.56709909439,-9238.853706799448,-8935.322598285973,-9450.000526309013,1731337436.7877429
-10566.990260653198,-7906.582404732704,-7466.178658865392,-8853.702248066664,1731337436.7877448
-9627.854904301465,-6728.940952412784,-6281.225348442793,-8052.250382587314,1731337436.787745
-8761.538808718324,-6152.569640211761,-5832.3496781513095,-7336.528071075678,1731337436.787747
-8295.72317726165,-6392.159588113427,-6285.341185100377,-6973.877985738218,1731337436.787747
-8407.585554778576,-7352.201876334846,-7464.0228997170925,-7102.133982978761,1731337436.7877488
-9058.963985607028,-8678.034723825753,-8934.6813576743,-7679.897901199758,1731337436.787749
-10018.687079362571,-9896.63767568767,-10174.951077580452,-8507.459662467241,1731337436.7877507
-10951.916670113802,-10585.151288971305,-10757.010003909469,-9302.104042060673,1731337436.787751
-11539.428302019835,-10517.554516881704,-10495.300770953298,-9798.529681809247,1731337436.7877529
-11591.56873691827,-9753.033207178116,-9523.090848125517,-9844.562413185835,1731337436.787753
-11123.096292302012,-8628.188051320612,-8259.213049851358,-9461.45622214675,1731337436.7877555
-10355.032189905643,-7632.4734453856945,-7249.782987892628,-8840.321572333574,1731337436.7877555
-9630.149270579219,-7206.556558318436,-6940.7580923214555,-8267.416784606874,1731337436.787758
-9272.688704788685,-7559.0590674728155,-7492.389093957841,-8007.205761454999,1731337436.7877584
-9456.756103925407,-8589.32603533566,-8724.230445206165,-8196.169353716075,1731337436.7877605
-10142.250271953642,-9940.018851034343,-10200.992102786899,-8793.24079181254,1731337436.787762
-11098.148760288954,-11139.36160916835,-11402.972881250083,-9601.333137340844,1731337436.787764
-11992.637852475047,-11770.206171043217,-11909.847324229777,-10343.323184147477,1731337436.7877643
-12512.545696161687,-11616.017748825252,-11547.463946327567,-10762.500681847334,1731337436.7877665
-12476.66243302077,-10747.58629629761,-10462.334513157606,-10717.387865066528,1731337436.7877667
-11909.439263559878,-9513.04315110296,-9085.787073813379,-10240.584382027388,1731337436.7877693
-11041.577145643532,-8411.328363455832,-7973.494625553489,-9533.574623122811,1731337436.7877696
-10224.344099149108,-7889.573496520519,-7577.07915417105,-8890.465388603508,1731337436.7877715
-9788.26543994993,-8159.847943402827,-8058.828945361078,-8579.916971981525,1731337436.7877717
-9910.891950592399,-9122.5171687752,-9237.73301242292,-8738.763962350786,1731337436.7877731
-10552.837210774422,-10419.713399291039,-10676.562954045832,-9323.267603047192,1731337436.7877736
-11481.695402905345,-11578.31403902173,-11853.114600270987,-10131.757848270237,1731337436.7877755
-12362.76784606278,-12179.280826218426,-12344.213738761842,-10881.340753264725,1731337436.787776
-12878.967354804277,-12003.663052670658,-11972.541384667158,-11308.878940567374,1731337436.787778
-12844.869033664465,-11119.573147468269,-10881.425736524165,-11266.79381210357,1731337436.7877784
-12281.378543749452,-9872.695585511625,-9499.418450444937,-10783.2059302032,1731337436.7877803
-11416.805019721389,-8759.714710868895,-8379.61494359374,-10057.338268734515,1731337436.7877803
-10600.755966201425,-8225.06685218215,-7970.6056127771735,-9382.778578713536,1731337436.787784
-10162.11351159215,-8477.620658650994,-8431.403401955962,-9028.717346139252,1731337436.7877843
